Accession,SRA_Accession,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Genotype,Segment,Host,Isolation_Source,BioSample,GenBank_Title
AB683884,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),391,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa469S/2008"
AB683885,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),394,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa491S/2008"
AB683886,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),394,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa536S/2008"
AB683887,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),384,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa545S/2008"
AB683888,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),287,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa605S/2008"
AB683889,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),394,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa612S/2008"
AB683890,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),273,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa27S/2009"
AB683891,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),395,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa32S/2009"
AB683892,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),393,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa46S/2009"
AB683893,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),397,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa92S/2009"
AB683894,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),397,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa94S/2009"
AB683895,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),317,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa123S/2009"
AB683896,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),323,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa126S/2009"
AB683897,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),386,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa141S/2009"
AB683898,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),389,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa146S/2009"
AB683899,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),394,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa180S/2009"
AB683900,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),382,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa182S/2009"
AB683901,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),392,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa182S2/2009"
AB683902,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),313,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa268S2/2009"
AB683903,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa4/2008"
AB683904,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa13/2008"
AB683905,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),359,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa16/2008"
AB683906,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa38/2008"
AB683907,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa82/2008"
AB683908,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa154/2008"
AB683909,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa160/2008"
AB683910,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa165/2008"
AB683911,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa268/2008"
AB683912,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),357,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa331/2008"
AB683913,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),357,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa424/2008"
AB683914,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa425/2008"
AB683915,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),341,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa442/2008"
AB683916,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),352,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa469/2008"
AB683917,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa491/2008"
AB683918,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),357,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa536/2008"
AB683919,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),352,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa545/2008"
AB683920,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus A genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa605/2008"
AB683921,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa612/2008"
AB683922,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),353,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa27/2009"
AB683923,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),356,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa32/2009"
AB683924,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa46/2009"
AB683925,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),358,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa92/2009"
AB683926,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),358,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa94/2009"
AB683927,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa123/2009"
AB683928,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa126/2009"
AB683929,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa141/2009"
AB683930,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),352,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa146/2009"
AB683931,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),355,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa180/2009"
AB683932,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),354,GenBank,,,Homo sapiens,,,"Human rhinovirus C genomic RNA, 5' UTR, partial sequence, strain: PHL/TTa182/2009"
AB683933,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),423,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa4/2008"
AB683934,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),334,GenBank,,,Homo sapiens,,,"Human rhinovirus A VP4 gene, partial sequence, strain: PHL/TTa82/2008"
AB683935,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),453,GenBank,,,Homo sapiens,,,"Human rhinovirus A VP4 gene, partial sequence, strain: PHL/TTa91/2008"
AB683936,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),506,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa160/2008"
AB683937,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),409,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa165/2008"
AB683938,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),507,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa268/2008"
AB683939,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),417,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa331/2008"
AB683940,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),484,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa425/2008"
AB683941,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),509,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa491/2008"
AB683942,,Rhinovirus A,Enterovirus,Picornaviridae,ssRNA(+),509,GenBank,,,Homo sapiens,,,"Human rhinovirus A VP4 gene, partial sequence, strain: PHL/TTa536/2008"
AB683943,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),431,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa545/2008"
AB683944,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),461,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa46/2009"
AB683945,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),515,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa92/2009"
AB683946,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),514,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa94/2009"
AB683947,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),408,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa123/2009"
AB683948,,Rhinovirus C,Enterovirus,Picornaviridae,ssRNA(+),513,GenBank,,,Homo sapiens,,,"Human rhinovirus C VP4 gene, partial sequence, strain: PHL/TTa146/2009"
JN850796,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),982,GenBank,H3N8,7,Equus caballus,,,"Influenza A virus (A/equine/Philippines/2/1997(H3N8)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN703385,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1389,GenBank,H1N1,6,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_245/2009(H1N1)) segment 6 neuraminidase (NA) gene, partial cds"
JN703386,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1438,GenBank,H1N1,6,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_262/2009(H1N1)) segment 6 neuraminidase (NA) gene, complete cds"
JN603275,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09-197/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN603276,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1761,GenBank,H1N1,4,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-41/2010(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds"
JF804020,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),1480,GenBank,1,,Homo sapiens,blood,,"Dengue virus 1 isolate PH/DB007/2004 envelope glycoprotein gene, partial cds"
JN543362,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),966,GenBank,H3N2,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10_83/2010(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, partial cds"
JN543363,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),996,GenBank,H3N2,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10_105/2010(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN543364,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),994,GenBank,H3N2,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10_96/2010(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN543365,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),956,GenBank,H3N2,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10_113/2010(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, partial cds"
JN543366,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),987,GenBank,H3N2,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10_86/2010(H3N2)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566140,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1746,GenBank,H1N1,4,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC11-9/2011(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds"
JN566141,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09-193/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566142,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),986,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-99/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566143,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),986,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-41/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566144,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),988,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-135/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566145,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),973,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-20/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, partial cds"
JN566146,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),985,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-79/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566147,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),986,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-103/2010(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566148,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),999,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09-280/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566149,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),986,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC11-15/2011(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN566150,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1434,GenBank,H1N1,6,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-41/2010(H1N1)) segment 6 neuraminidase (NA) gene, complete cds"
JN566151,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1413,GenBank,H1N1,6,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC10-99/2010(H1N1)) segment 6 neuraminidase (NA) gene, partial cds"
HM641025,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),431,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 8-2 polyprotein gene, partial cds"
HM641026,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),414,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 8-14 polyprotein gene, partial cds"
HM641027,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),427,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 8-65 polyprotein gene, partial cds"
HM641028,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),433,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-2 polyprotein gene, partial cds"
HM641029,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),381,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-14 polyprotein gene, partial cds"
HM641030,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),412,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-32 polyprotein gene, partial cds"
HM641031,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),434,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-48 polyprotein gene, partial cds"
HM641032,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),404,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-55 polyprotein gene, partial cds"
HM641033,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),398,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-65 polyprotein gene, partial cds"
HM641034,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),432,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-73 polyprotein gene, partial cds"
HM641035,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),422,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 9-89 polyprotein gene, partial cds"
HM641036,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),430,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 10-9 polyprotein gene, partial cds"
HM641037,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),416,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 10-10 polyprotein gene, partial cds"
HM641038,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),430,GenBank,3,,Homo sapiens,,,"Dengue virus 3 isolate 10-22 polyprotein gene, partial cds"
JN084413,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),987,GenBank,H3N8,4,Equus caballus,,,"Influenza A virus (A/equine/Philippines/2/1997(H3N8)) segment 4 hemagglutinin (HA) gene, partial cds"
JN053051,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),989,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC11-09/2011(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053052,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),985,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC11-12/2011(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053053,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),986,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_123/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053054,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_140/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053055,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_217/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053056,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),992,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_218/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053057,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_222/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053058,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_245/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN053059,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),990,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC09_248/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds"
JN034585,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),937,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC120/2009(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, partial cds"
JN034586,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),928,GenBank,H1N1,7,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC136/2009(H1N1)) segment 7 matrix protein 1 (M1) and matrix protein 2 (M2) genes, partial cds"
JN034587,,Influenza A virus,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),1295,GenBank,H1N1,6,Homo sapiens,,,"Influenza A virus (A/Philippines/TMC120/2009(H1N1)) segment 6 neuraminidase (NA) gene, partial cds"
AB609590,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),2268,GenBank,,,,,,"Dengue virus 3 gene for polyprotein, partial cds, strain: H87"
AB609591,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),2283,GenBank,,,Homo sapiens,blood,,"Dengue virus 4 gene for polyprotein, partial cds, strain: H241"
HQ286302,,Enterovirus C,Enterovirus,Picornaviridae,ssRNA(+),900,GenBank,,,Homo sapiens,,,"Human poliovirus 3 strain PHL9311258 polyprotein gene, partial cds"
FJ502903,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),219,GenBank,DENV-2,,Homo sapiens,,,"Dengue virus 2 strain SF735VI06 envelope protein (E) gene, partial cds"
FJ502927,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),219,GenBank,DENV-2,,Homo sapiens,,,"Dengue virus 2 strain MN14VI04 envelope protein (E) gene, partial cds"
FJ502944,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),220,GenBank,DENV-3,,Homo sapiens,,,"Dengue virus 3 strain WI681VI05 envelope protein (E) gene, partial cds"
FJ502945,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),220,GenBank,DENV-3,,Homo sapiens,,,"Dengue virus 3 strain SK1213VI04 envelope protein (E) gene, partial cds"
FJ502971,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),220,GenBank,DENV-3,,Homo sapiens,,,"Dengue virus 3 strain LV703VI05 envelope protein (E) gene, partial cds"
FJ502990,,Dengue virus,Flavivirus,Flaviviridae,ssRNA(+),217,GenBank,DENV-4,,Homo sapiens,,,"Dengue virus 4 strain MN15VI04 envelope protein (E) gene, partial cds"
AB569257,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-343"
AB569258,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-385"
AB569259,,Enterovirus D,Enterovirus,Picornaviridae,ssRNA(+),232,GenBank,68,,Homo sapiens,oronasopharynx,,"Human enterovirus 68 gene, 5'UTR, partial sequence, Hospital study number: TTa-08-398"
